epoch,acc,loss
0,0.9959434922806926,0.01281920224735579
1,0.9977025268156616,0.007737664869420844
2,0.9981134405217592,0.006395385651057704
3,0.9983846840518925,0.005518889627963399
4,0.9985284026387542,0.005051348565760471
5,0.9986640244038208,0.004872231192930303
6,0.9987753557035025,0.004602218893427301
7,0.9987915493470926,0.004334393693138956
8,0.9988178640179264,0.004021910852534147
9,0.9988826385922865,0.003981449198710735
10,0.9989737278374806,0.0035290864056506236
11,0.9989555099884417,0.0037134431177737732
12,0.9989717036320318,0.003489434949827135
13,0.9989939698919682,0.0035769100102591377
14,0.9990465992336358,0.0033996906128677114
15,0.9990911317535085,0.003324394811767094
16,0.9989777762483781,0.003349738942138306
17,0.9990385024118408,0.0032256738862997225
18,0.999127567451586,0.0030763658692570355
19,0.9991032769862009,0.003316638765506205
20,0.999111373807996,0.0030758659450549394
21,0.999178172587805,0.002990702007432041
22,0.999127567451586,0.002839380534426031
23,0.9992105598749851,0.0026984766227744457
24,0.9991801967932538,0.002684352961929113
25,0.9992105598749851,0.0029109838141661197
26,0.9992308019294727,0.002711956914905334
27,0.99920246305319,0.0026438629116776547
28,0.999269261832999,0.0024995103207530343
